Experiment,E2E_GFLOPs/Sample,E2E_Latency_ms/Sample,E2E_Total_Params,E2E_Param_Mem_MB,Max_Peak_VRAM_MB,FM_GFLOPs/Sample,FM_Latency_ms/Sample,Geom_GFLOPs/Sample,Geom_Latency_ms/Sample,Classifier_GFLOPs/Sample,Classifier_Latency_ms/Sample,Classifier_Total_Params,Classifier_Param_Mem_MB,Classifier_XGB_Model_Mem_MB,Classifier_Peak_VRAM_MB
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Transformer__Train1Val_Test,211.0219,12.4,1309216242,3749.99,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Transformer__Train1Val_ClinVarHQ,211.0219,12.65,1309216242,3749.99,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Transformer__Train1Val_UniProt,211.0219,12.65,1309216242,3749.99,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Transformer__Train1Val_ProteinGym,211.0219,12.51,1309216242,3749.99,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Gating__Train1Val_Test,211.0141,12.38,1306390002,3739.21,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Gating__Train1Val_ClinVarHQ,211.0141,12.62,1306390002,3739.21,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Gating__Train1Val_UniProt,211.0141,12.62,1306390002,3739.21,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_PyTorch_Gating__Train1Val_ProteinGym,211.0141,12.49,1306390002,3739.21,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_Pure_XGBoost_Concat__Train1Val_Test,211.0135,12.38,1306062834,3737.96,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_Pure_XGBoost_Concat__Train1Val_ClinVarHQ,211.0135,12.62,1306062834,3737.96,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_Pure_XGBoost_Concat__Train1Val_UniProt,211.0135,12.62,1306062834,3737.96,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_Pure_XGBoost_Concat__Train1Val_ProteinGym,211.0135,12.49,1306062834,3737.96,3643.92,,,,,,,,,,
train1__val_center_dna_prot_nt_v3_650m_esm1b_650m_Hybrid_Concat_XGBoost__Train1Val_Test,211.0135,12.37,1306062834,3737.96,3643.92,,,,,,,,,,
